Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-28,POSITIVO,COMPRA,144.93,68,9855.24,144.76,10000.0,,17 vezes em que o Ibovespa bateu recorde até fechar nos 147 mil pontos Relembre a trajetória do principal índice de ações do mercado brasileiro ao longo de 2025 e os motivos que levaram o Ibovespa a pontuações recordes | 17 vezes em que o Ibovespa bateu recorde até fechar nos 147 mil pontos Relembre a trajetória do principal índice de ações do mercado brasileiro ao longo de 2025 e os motivos que levaram o Ibovespa a pontuações recordes
2025-12-23,POSITIVO,MANTIDO (Comprado),156.54,68,10644.72,144.76,10789.48,,Essas 6 ações estiveram na carteira dos grandes bancos o ano inteiro Levantamento da EXAME revela quais foram as queridinhas do Ibovespa em 2025
2025-12-29,NEGATIVO,VENDA,158.3,0,0.0,10909.16,10909.16,909.16,"Ibovespa hoje: acompanhe o movimento da bolsa e dólar nesta segunda-feira, 29 O Ibovespa recua no pregão desta última segunda-feira do ano, 29, enquanto o dólar mantém trajetória de alta"
2026-01-02,NEGATIVO,MANTIDO (Zerado),157.35,0,0.0,10909.16,10909.16,,"Minerva e MBRF caem na bolsa após China anunciar taxação à carne brasileira Os papéis das companhias caíam mais de 6% e 4%, estando entre as maiores baixas do Ibovespa nesta sexta-feira, 2"
2026-01-08,POSITIVO,COMPRA,159.5,68,10846.0,63.16,10909.16,,"Ibovespa volta a subir, mas Vale em baixa freia ganhos Ações do setor de energia se destacam entre as alta do dia do Ibovespa, que registra leve alta nesta quinta, 8"
2026-01-09,NEGATIVO,VENDA,159.81,0,0.0,10930.24,10930.24,21.08,"C&A lidera quedas do Ibovespa na semana com temor sobre vendas do 4º tri As ações da C&A (CEAB3) lideraram as quedas do Ibovespa na semana encerrada nesta sexta-feira, 9, com desvalorização de 13,05%"
2026-01-14,POSITIVO,COMPRA,162.5,67,10887.5,42.74,10930.24,,"Por que a Petrobras é a maior alta do Ibovespa hoje? As ações ordinárias da petrolífera registravam alta próxima de 6%, impulsionando o Ibovespa"
2026-01-16,NEGATIVO,VENDA,161.51,0,0.0,10863.91,10863.91,-66.33,"Construtoras lideram perdas do Ibovespa; Direcional cai 6% após prévia Índice de referência do mercado acionário brasileiro recua nesta sexta-feira, 16, após bater novos recordes"
2026-01-19,NEGATIVO,MANTIDO (Zerado),160.75,0,0.0,10863.91,10863.91,,"Vale pressiona o Ibovespa em dia de aversão ao risco Principal índice da bolsa brasileira recua nas primeiras de negociação desta segunda-feira, 19"
2026-01-30,NEGATIVO,MANTIDO (Zerado),178.05,0,0.0,10863.91,10863.91,,"Desemprego no Brasil e escolha de Trump para o Fed: o que move os mercados O pano de fundo para esta sexta-feira é um mercado que vem de ajuste, o Ibovespa interrompeu a sequência de recordes e bolsas de NY mistas"
2026-02-02,POSITIVO,COMPRA,181.66,59,10717.94,145.97,10863.91,,"Esses analistas acreditam que o Ibovespa pode chegar a 235 mil pontos em 2026 Relatório da XP aponta espaço para valorização adicional da Bolsa brasileira em um cenário de dólar fraco e fluxo estrangeiro | Após disparada em 2025, educação mantém alta firme na B3: onde investir? Cogna subiu 45% em janeiro mantendo liderança do Ibovespa, mas outros nomes do setor estão no radar dos analistas"
2026-02-05,NEGATIVO,VENDA,178.94,0,0.0,10703.43,10703.43,-160.48,"Ibovespa ensaia recuperação após maior tombo em quase dois meses Depois do tombo de 2,14% do Ibovespa, a pior queda diária em quase dois meses, a maioria dos ativos ensaiam uma  recuperação, com destaque para os bancos | Vale cai 2% e limita alta do Ibovespa Índice se recupera levemente após maior tombo diário em dois meses na sessão anterior"
2026-02-09,POSITIVO,COMPRA,182.19,58,10567.02,136.41,10703.43,,"Rali, susto e retomada: o novo jogo do Ibovespa em 2026 Após recordes, sustos e recuperação em fevereiro, grandes bancos veem espaço para alta, mas defendem estratégias diferentes diante dos balanços e dos juros | Ibovespa acelera e sobe mais de 1% com alta das blue chips O Ibovespa mudou de direção e passou a operar em alta firme no início da tarde, embalado pelo avanço das ações de maior peso no índice"
2026-02-12,NEGATIVO,VENDA,181.85,0,0.0,10683.71,10683.71,-19.72,"Desemprego nos EUA, serviços no Brasil e balanço da Vale: o que move os mercados Agenda desta quinta, 12, reúne indicadores de atividade e temporada de resultados, após o Ibovespa renovar máximas históricas na véspera. | C&A sobe 23% após tombo em janeiro e tenta virar o jogo no Ibovespa Desde o dia 5 de janeiro, quando os papéis despencaram 15,71%, a varejista acumula alta de 23,04% até o fechamento nesta quarta, 11"
2026-02-25,NEGATIVO,MANTIDO (Zerado),187.61,0,0.0,10683.71,10683.71,,"Dólar acompanha inversão do Ibovespa e zera perdas A moeda chegou a cair mais de 0,50%, chegando a R$ 5,11, mas foi reduzindo perdas"
2026-02-27,POSITIVO,COMPRA,183.99,58,10671.42,12.29,10683.71,,"Bradesco lidera altas do Ibovespa: 'Bradsaúde destrava valor', diz CEO Executivos do banco afirmam que nova operação leva o mercado a reavaliar o banco e pode gerar ganho adicional aos acionistas"
2026-03-03,NEGATIVO,VENDA,182.07,0,0.0,10572.35,10572.35,-111.36,"GPA chega a cair 15% na bolsa: por que ação lidera baixas do Ibovespa? O GPA informou nesta terça que apresentou um pedido incidental de tutela cautelar na arbitragem contra o Casino | Aversão ao risco pesa e Ibovespa tomba mais de 3% com conflito no Irã O Ibovespa se afastou das mínimas dos 180 mil pontos, com a queda de mais de 4%, mas segue estendendo as perdas no pregão desta terça-feira, 3 | Ibovespa fecha em forte baixa, de 3,3%, a maior queda desde dezembro O Ibovespa recuou 3,28%, aos 183.104 pontos, distante da mínima de 180.518 pontos, mas bem abaixo dos 189 mil pontos do início do pregão"
2026-03-10,NEGATIVO,MANTIDO (Zerado),178.49,0,0.0,10572.35,10572.35,,"Para esses analistas, petróleo a US$ 120 poderia zerar retorno do Ibovespa Segundo o estudo, o principal índice da B3 tende a apresentar retornos significativamente maiores em cenários de petróleo em queda ou estável | Qual é o impacto da Guerra no Irã no Ibovespa hoje Movimento positivo para o mercado de ações começou ontem, após declarações do presidente dos Estados Unidos, Donald Trump"
2026-03-11,NEGATIVO,MANTIDO (Zerado),178.18,0,0.0,10572.35,10572.35,,"Petrobras segura Ibovespa em novo dia de cautela nos mercados Por volta das 10h32, o principal índice acionário da B3 registrava alta de 0,32%, aos 184.108 pontos, enquanto bolsas na Europa e em NY recuam"
2026-03-12,NEGATIVO,MANTIDO (Zerado),176.6,0,0.0,10572.35,10572.35,,"Yduqs despenca 13% e lidera quedas do Ibovespa após balanço 'fraco' Em dia de aversão ao risco nos mercados, setor de educação está em baixa; Cogna também recua"
