Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-22,NEGATIVO,MANTIDO (Zerado),113.95,0,0.0,10000.0,10000.0,,"Além da IA: o avanço quântico nos negócios Também no Breakfast: A bilionária perda tributária no Brasil que derrubou o resultado da Netflix | A nova proposta do governo para elevar impostos a bancos, bets e fintechs | OpenAI lança navegador com IA em desafio ao Chrome, do Google | Além da IA: o avanço quântico nos negócios Também no Breakfast: A bilionária perda tributária no Brasil que derrubou o resultado da Netflix | A nova proposta do governo para elevar impostos a bancos, bets e fintechs | OpenAI lança navegador com IA em desafio ao Chrome, do Google"
2025-10-28,NEGATIVO,MANTIDO (Zerado),119.46,0,0.0,10000.0,10000.0,,"Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28) | Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28)"
2026-01-02,POSITIVO,COMPRA,143.4,69,9894.64,105.36,10000.0,,"Das 7 Magníficas, uma se destacou em 2025 — e não foi a Nvidia Alphabet, controladora do Google, teve melhor desempenho anual desde 2009: saiba o motivo"
2026-01-12,POSITIVO,MANTIDO (Comprado),149.49,69,10314.65,105.36,10420.01,,Alphabet vira a quarta empresa do mundo a valer US$ 4 trilhões As ações da controladora do Google subiram fortemente nesta segunda com a aposta da Apple no Gemini e foco em inteligência artificial
2026-02-04,NEGATIVO,VENDA,140.19,0,0.0,9778.62,9778.62,-221.38,"PMIs de serviços, balanços de peso e dados dos EUA: o que move os mercados Bancos brasileiros e Alphabet puxam a temporada de balanços, enquanto o fim do shutdown reduz ruídos em Washington | Dois terços dos poupadores brasileiros não investem o dinheiro que guardam Levantamento feito pelo Google aponta para baixa familiaridade do brasileiro com produtos financeiros | Alphabet bate expectativa de lucro, mas pesa a mão em investimentos; ação cai Controladora do Google projeta investimentos entre US$ 175 bilhões e US$ 185 bilhões neste ano com aportes pesados em IA"
2026-02-05,NEGATIVO,MANTIDO (Zerado),143.18,0,0.0,9778.62,9778.62,,Investidor torce o nariz para aportes em IA e derruba ações das 'techs': Google não escapou Movimento mostra que Wall Street está sensível a investimentos em inteligência artificial (IA)
2026-02-10,POSITIVO,COMPRA,137.46,71,9759.91,18.71,9778.62,,"Alphabet amplia venda de dívida e faz oferta inédita desde a bolha da internet Controladora do Google está perto de concluir uma emissão global de títulos acima de US$ 30 bilhões, ampliando a captação do início da semana, diz site"
2026-02-11,NEGATIVO,VENDA,134.78,0,0.0,9588.43,9588.43,-190.19,Google faz dívida de 100 anos para bancar investimento em IA: entenda Alphabet busca financiamento que ultrapassa a expectativa da vida humana para sua expansão na Inteligência Artificial
2026-03-26,NEGATIVO,MANTIDO (Zerado),121.5,0,0.0,9588.43,9588.43,,"Impasse entre EUA e Irã derruba Wall Street; Nasdaq cai 2,38% Entre os papéis mais pressionados estiveram gigantes do setor de tecnologia, como Meta, Alphabet, Nvidia e Intel"
2026-03-30,POSITIVO,COMPRA,120.62,79,9528.98,59.45,9588.43,,"Wise lidera buscas por contas globais no Brasil, mostra levantamento Pesquisa feita pela empresa de inteligência de mídia e dados Tunad comparou buscas realizadas no Google por Wise, Nomad, Avenue e Revolut"
2026-04-16,POSITIVO,MANTIDO (Comprado),140.2,79,11075.8,59.45,11135.25,,"Por que a Meta é a principal escolha entre as big techs agora? Morgan Stanley colocou a dona do Facebook, do Instagram e do WhatsApp à frente de Amazon e Alphabet, citando uma combinação de valuation mais baixo, crescimento projetado e novos gatilhos ligados à IA"
