Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-02-03,NEGATIVO,MANTIDO (Zerado),90.26,0,0.0,10000.0,10000.0,,"Bitcoin tem leve baixa e reage menos a conflito entre Irã e EUA/Israel Criptomoedas reagem negativamente aos ataques, porém com perdas menores que as dos índices acionários globais"
2026-03-03,POSITIVO,COMPRA,84.4,118,9959.2,40.8,10000.0,,"Bitcoin sobe e mostra resiliência diante de conflito no Oriente Médio Criptomoedas registram ganhos e vão na contramão das bolsas internacionais, mas o BTC está longe da máxima da véspera"
2026-04-01,POSITIVO,MANTIDO (Comprado),77.85,118,9186.3,40.8,9227.1,,"Bitcoin avança com alívio geopolítico e volta dos fluxos para ETFs, mas mercado ainda testa fôlego da reação Sinalização de Donald Trump sobre possível fim da guerra com o Irã melhora o apetite por risco"
2026-04-02,NEGATIVO,VENDA,80.85,0,0.0,9581.1,9581.1,-418.9,"Bitcoin cai com nova ameaça de escalada no Irã e volta da aversão ao risco Declarações de Donald Trump reacendem temor sobre petróleo, inflação e juros altos por mais tempo"
2026-04-03,POSITIVO,COMPRA,80.85,118,9540.3,40.8,9581.1,,Bitcoin sobe 6% e vai a seu maior patamar desde 8 de fevereiro Criptomoedas consolidam movimento positivo durante o conflito de Israel e EUA contra o Irã
2026-04-06,NEGATIVO,VENDA,79.94,0,0.0,9473.72,9473.72,-107.38,"Bitcoin sobe para a faixa de US$ 69 mil com possível cessar-fogo no Irã no radar Possibilidade de reabertura do Estreito de Ormuz, rota central para o fluxo global de petróleo, ajudou a reduzir parte da aversão ao risco | Bitcoin sobe para a faixa de US$ 69 mil com possível cessar-fogo no Irã no radar Possível avanço nas negociações para reabrir o Estreito de Ormuz melhoram o apetite por risco, mas juros nos EUA seguem como freio para o mercado | Criptos atreladas a dólar e ouro roubam a cena nos destaques para abril Mesmo com liderança mantida por Bitcoin, Ethereum e Solana, especialistas apontam avanço do uso real e da adoção de moedas digitais lastreadas a ativos reais"
2026-04-07,NEGATIVO,MANTIDO (Zerado),82.05,0,0.0,9473.72,9473.72,,Bitcoin recua e volta a ficar abaixo de US$ 69 mil com novo ultimato de Trump ao Irã Petróleo acima de US$ 110 e risco de escalada militar voltam a pressionar o apetite por risco; mercado também começa a olhar para a inflação nos EUA
2026-04-08,NEGATIVO,MANTIDO (Zerado),82.47,0,0.0,9473.72,9473.72,,"Bitcoin sobe para faixa dos US$ 72 mil com trégua entre EUA e Irã Alívio no Oriente Médio derruba o petróleo e impulsiona ativos mais voláteis, mas mercado ainda monitora inflação e juros nos EUA"
2026-04-09,NEGATIVO,MANTIDO (Zerado),82.51,0,0.0,9473.72,9473.72,,Bitcoin recua para faixa dos US$ 70 mil com trégua frágil entre EUA e Irã Trégua frágil entre EUA e Irã reduz o fôlego do rali e mantém investidores em modo defensivo
2026-04-13,NEGATIVO,MANTIDO (Zerado),84.2,0,0.0,9473.72,9473.72,,"Bitcoin ronda US$ 71 mil, com petróleo e guerra no Irã ainda limitando o fôlego do mercado Criptomoeda tenta sustentar a faixa dos US$ 70 mil, mas aversão ao risco segue no radar; nos últimos sete dias, bitcoin acumula alta de 2,3%"
2026-04-16,NEGATIVO,MANTIDO (Zerado),85.55,0,0.0,9473.72,9473.72,,"Bitcoin acompanha queda das bolsas em NY e cai para a faixa dos US$ 73 mil Criptomoeda inicia o dia em alta, mas vira para queda com piora das bolsas, mantendo-se sensível ao cenário macro e geopolítico"
2026-04-17,NEGATIVO,MANTIDO (Zerado),85.25,0,0.0,9473.72,9473.72,,Bitcoin se aproxima dos US$ 77 mil e caminha para 3ª alta semanal com expectativa sobre guerra
2026-04-20,POSITIVO,COMPRA,87.8,107,9394.6,79.12,9473.72,,"Bitcoin mantém patamar de US$ 75 mil com compra da Strategy e fluxo para ETF Na sexta, os fundos negociados em bolsa tiveram forte captação de US$ 663 milhões, no maior rito de aportes do mês"
2026-04-22,NEGATIVO,VENDA,88.09,0,0.0,9504.75,9504.75,31.03,Bitcoin avança a US$ 78 mil e ether bate US$ 2.400 com cessar-fogo Investidores do segmento cripto veem possibilidade de a criptomoeda voltar a ser negociada acima de US$ 80 mil nos próximos dias se o ambiente continuar positivo nos mercados
2026-05-03,POSITIVO,COMPRA,87.77,108,9479.16,25.59,9504.75,,Bitcoin sobe e se consolida acima dos US$ 72 mil; alta desde o início da guerra chega a 15% Criptomoedas seguem registrando ganhos em movimento descorrelacionado com as bolsas internacionais
