,text,sentiment
0,"O aumento de preços do etanol em novembro decorreu da proximidade da entressafra da cana-de-açúcar, que se inicia em dezembro, diz Eulina.",Negativo
1,"RIO – A Transpetro recebe segunda-feira, no Estaleiro Mauá, na cidade fluminense de Niterói, o navio de produtos Celso Furtado, a primeira embarcação do Programa de Modernização e Expansão da Frota (Promef) a entrar em operação.",Positivo
2,"Como uma empresa autônoma, a Sylvamo terá maior flexibilidade estratégica, uma liderança e equipes fortes, as melhores fábricas de papel em regiões competitivas do Brasil, Estados Unidos e Europa, e marcas icônicas como Chamex, Chamequinho e Chambril, que contribuem para criar valor de longo prazo para os nossos clientes e acionistas.",Positivo
3,"Montagnier, que tinha 89 anos, ganhou o Prêmio Nobel de Fisiologia ou Medicina de 2008 por sua descoberta do HIV, vírus causador da Aids.",Não se aplica
4,Curtas,Não se aplica
5,"A companhia disse estudar a compensação pela interrupção do serviço depois que algumas operadoras de telefonia móvel, como a Vodafone, ofereceram reembolsos para alguns usuários do Blackberry.",Negativo
6,"Enquanto o Bitcoin acumula recuperação de 66% das mínimas registradas em julho, o índice S&P 500 começou a cair no mês passado e acumula perdas de 5,2% desde a máxima histórica de 4.536,95 pontos realizada em 2 de setembro.",Neutro
7,Receita Federal lança novo programa eletrônico para o Reintegra,Neutro
8,"Das 150 companhias listadas no guia, 58 têm programa de liderança com meta para inclusão de deficientes. Na avaliação dos RHs dessas empresas, não se trata de estabelecer cota, mas de garantir a igualdade de oportunidades. ""Um deficiente que chega a assumir um cargo de liderança é uma pessoa muito bem preparada, pois tem de ralar muito para vencer as barreiras até chegar ao mercado de trabalho"", diz Jaques Haber, sócio-diretor da consultoria i.Social.",Positivo
9,"Existem medidas básicas que podem ser adotadas por funcionários que vão trabalhar de casa para fortalecer a segurança da sua rede residencial, o que tornará o trabalho remoto mais seguro. A segurança de uma rede residencial é infinitamente menos complexa do que a segurança da rede interna da companhia, e isso deve ser levado em consideração.",Positivo
10,"O CMN também alterou as regras de aplicação de fundos de pensão brasileiros no exterior. A resolução faz parte do esforço do governo brasileiro em promover a liberalização dos fluxos de capitais, tendo em vista a candidatura de ingresso do Brasil na OCDE.",Positivo
11,"BC recolhe R$ 6,234 bi no mercado aberto",Neutro
12,Petróleo e energia eólica,Neutro
13,"A Senior já tem hoje uma participação expressiva no comércio eletrônico. Segundo o executivo, entre 45% e 50% das compras realizadas durante a Black Friday passaram pelos softwares de logística e armazenamento da empresa. Mas a aquisição da concorrente Alcis eleva a atuação da empresa nesse segmento.",Positivo
14,"É natural que, na fórmula do mercado, holdings sejam avaliadas com um ""desconto"" em relação aos seus ativos. O problema é que, para a Simpar, a penalidade tem sido maior, principalmente considerando o desempenho das empresas. Em balanço referente ao quarto trimestre de 2021 divulgado ontem, 23, a empresa reportou um lucro líquido 70% maior do que no mesmo período do ano anterior. No fechado do ano, o salto foi de 150%, para 1,3 bilhão de reais.",Positivo
15,"Segundo a companhia, a decisão possibilita a continuidade das negociações com os credores em um ambiente protegido, a fim de que as partes envolvidas cheguem a um acordo.",Positivo
16,"O Enjoei (ENJU3) comunicou que Aline de Lucca e Eric Acher  apresentaram, ontem (24),  pedido de renúncia aos cargos de membros do Conselho de Administração.",Negativo
17,"Neste ano, serão dez rebaixamentos para cada elevação. “As empresas vão ficar ainda mais endividadas neste ano, porque haverá ainda mais dificuldade de gerar caixa devido ao agravamento da recessão”, diz Ricardo Carvalho, diretor sênior da Fitch Ratings.",Negativo
