Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,POSITIVO,COMPRA,70.09,142,9952.79,47.21,10000.0,,"O que fez a Apple bater recorde de preço na bolsa e ultrapassar a Microsoft em valor de mercado Ações fecharam a sessão de segunda-feira, 20, em alta de 3,9% a US$ 262,24, marcando o maior fechamento de todos os tempos"
2025-10-28,NEGATIVO,VENDA,71.86,0,0.0,10250.84,10250.84,250.84,"Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28) | Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28)"
2026-01-12,POSITIVO,COMPRA,69.71,147,10247.03,3.81,10250.84,,Alphabet vira a quarta empresa do mundo a valer US$ 4 trilhões As ações da controladora do Google subiram fortemente nesta segunda com a aposta da Apple no Gemini e foco em inteligência artificial
2026-01-29,POSITIVO,MANTIDO (Comprado),66.75,147,9812.48,3.81,9816.29,,"Emprego nos EUA, balanço da Apple e Haddad: o que move os mercados No Brasil, o mercado também acompanha dados como IGP-M, crédito bancário, Caged e leilões de títulos públicos | Apple bate recorde de vendas de iPhone e lucro chega a US$ 42 bilhões Números vieram acima das expectativas, mas ações tiveram reação tímida no after market"
2026-01-30,POSITIVO,MANTIDO (Comprado),67.51,147,9924.06,3.81,9927.87,,Apple renova aposta na China após vendas na região crescerem 38% iPhone 17 bate recorde de atualizações na região; vendas superam projeções e aliviam temores sobre concorrência local
2026-02-10,POSITIVO,MANTIDO (Comprado),70.78,147,10405.07,3.81,10408.88,,"TSMC cresce 37% em janeiro com impulso de IA da Nvidia e Apple Principal fornecedora de semicondutores para a Nvidia e a Apple, a TSMC consolidou-se como uma das maiores beneficiárias da corrida global por IA"
2026-02-18,NEGATIVO,VENDA,68.8,0,0.0,10118.01,10118.01,-132.83,"Buffett reduz apostas em Apple e Amazon em último trimestre como CEO No último trimestre sob comando de Warren Buffett, Berkshire Hathaway cortou 4% de Apple e vendeu mais de 75% da posição em Amazon | A Apple não entrou na corrida da IA — mas pode ter vencido mesmo assim Enquanto gigantes da tecnologia mergulham em gastos massivos com IA, a Apple não participa do ""boom"" de investimentos e não tem linhas de negócio principais vulneráveis a essas ferramentas"
2026-04-01,NEGATIVO,MANTIDO (Zerado),65.76,0,0.0,10118.01,10118.01,,"Em 1980, Apple ignorou inflação de 13,5% — e ficou bilionária em horas IPO de 1980 levantou US$ 101 milhões, criou 300 milionários e levou a Apple a US$ 1,78 bilhão em valor de mercado no primeiro dia | O efeito Buffett na Apple: como o Oráculo de Omaha mexeu com a empresa Após vender mais de 50% da posição, Berkshire mantém Apple como principal ativo, agora com menor exposição | Nubank traz ex-executivo da Amazon e Apple para conselho de administração 'Board' do 'roxinho' passa a ter 20 membros com novo conselheiro | Nubank traz ex-Amazon e Apple para conselho de administração Italiano Diego Piacentini vai ocupar vaga no colegiado que era do ex-presidente do BC Roberto Campos Neto"
2026-04-10,POSITIVO,COMPRA,64.9,155,10058.99,59.02,10118.01,,"TSMC tem faturamento recorde de US$ 35,6 bi no 1º tri com demanda por IA em alta Primeiros três meses de 2026 foram marcados pela demanda acelerada, especialmente de grandes empresas como Apple e Nvidia; resultado superou expectativas de analistas"
2026-04-13,NEGATIVO,VENDA,64.65,0,0.0,10079.29,10079.29,-38.72,"Mercado de smartphones cai 6%, mas Apple avança 5% e lidera ranking global Crescimento na China e estratégia premium sustentam avanço da Apple no primeiro trimestre de 2026"
2026-04-17,NEGATIVO,MANTIDO (Zerado),67.36,0,0.0,10079.29,10079.29,,Apple encosta na liderança do mercado de smartphones na China Apple avança 20% em envios na China e amplia participação em mercado pressionado por custos de chips e queda na demanda por smartphones
2026-04-18,POSITIVO,COMPRA,67.36,149,10035.9,43.38,10079.29,,BNP eleva Apple e vê ganho de mercado com alta dos chips de memória Banco avalia que pressão de custos deve afetar rivais menores e reforçar posição do iPhone no segmento premium
2026-04-22,POSITIVO,MANTIDO (Comprado),67.81,149,10104.4,43.38,10147.78,,"Por que a Apple recomprou US$ 700 bi em ações na gestão de Tim Cook Companhia elevou o lucro por ação, visando ganhos mesmo em ciclos sem grande crescimento"
