Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-28,NEGATIVO,MANTIDO (Zerado),62.12,0,0.0,10000.0,10000.0,,"Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28) | Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28)"
2026-01-09,POSITIVO,COMPRA,66.0,151,9966.0,34.0,10000.0,,Wegovy em pílula chega à Amazon — e em breve às vending machines O comprimido de uso diário da Novo Nordisk começou a ser distribuído nos Estados Unidos no início da semana e chegou à plataforma de e-commerce
2026-01-15,NEGATIVO,VENDA,64.17,0,0.0,9723.67,9723.67,-276.33,Amazon tenta barrar proposta de recuperação judicial da Saks Empresa afirma que estrutura da recuperação judicial da varejista de luxo reduz chances de pagamento a credores
2026-02-05,NEGATIVO,MANTIDO (Zerado),53.75,0,0.0,9723.67,9723.67,,"Amazon tem lucro abaixo do esperado e investimento de US$ 200 bi surpreende: ação cai 10% Receitas, por outro lado, superaram consenso, com vendas aceleradas no final do ano"
2026-02-06,NEGATIVO,MANTIDO (Zerado),54.83,0,0.0,9723.67,9723.67,,Ibovespa opera sem direção definida pressionado pelos bancos Mercado repercute resultados do Bradesco (BBDC4) e da Amazon (AMZO34) | Gastos bilionários da Amazon com IA derrubam ações em mais de 7% Mercado teme que expansão acelerada da inteligência artificial se transforma em uma bolha
2026-02-12,POSITIVO,COMPRA,51.82,187,9690.34,33.33,9723.67,,"Meli vira aposta do JP Morgan: banco vê vantagem sobre Shopee e Amazon Depois de um ano de revisões para baixo, banco aposta que 2026 pode marcar uma nova fase para a companhia fundada por Marcos Galperin"
2026-02-18,NEGATIVO,VENDA,53.46,0,0.0,10030.35,10030.35,306.68,"Amazon perde US$ 450 bilhões em valor de mercado Papéis acumulam desvalorização de cerca de 18% desde 2 de fevereiro, em sua série negativa mais intensa desde 2006 | Por que a inteligência artificial fez a Amazon 'perder' US$ 450 bilhões Ações caem 18% em menos de duas semanas após anúncio de US$ 200 bilhões em investimentos e projeções abaixo do esperado | Buffett reduz apostas em Apple e Amazon em último trimestre como CEO No último trimestre sob comando de Warren Buffett, Berkshire Hathaway cortou 4% de Apple e vendeu mais de 75% da posição em Amazon"
2026-02-20,NEGATIVO,MANTIDO (Zerado),54.06,0,0.0,10030.35,10030.35,,"Amazon alivia custo de frete no México e acirra disputa com Meli fora do Brasil Mudança beneficia sellers de baixo tíquete, mas não altera o jogo regional, diz BBA"
2026-03-14,NEGATIVO,MANTIDO (Zerado),55.3,0,0.0,10030.35,10030.35,,"Meta quer demitir 20% dos funcionários para investir em IA, diz agência Meta seguiria caminho de Amazon, Block e Atlassian, que também reduziram equipes citando avanços em IA; empresa nega"
2026-03-23,POSITIVO,COMPRA,54.85,182,9982.7,47.65,10030.35,,"Depois de parceria com Meli, Casas Bahia também vai vender na Amazon O movimento conecta a estrutura digital e logística da Amazon com a capilaridade e reconhecimento da Casas Bahia"
2026-03-26,NEGATIVO,VENDA,54.29,0,0.0,9928.43,9928.43,-101.92,"Como investimentos de Meli, Amazon e Shopee em logística afetam o frete das suas compras Expansão de galpões e centros de distribuição muda prazo, custo e até quem paga pela entrega"
2026-03-29,NEGATIVO,MANTIDO (Zerado),52.56,0,0.0,9928.43,9928.43,,Amazon vai pagar para ser elogiada. A recompensa? US$ 1 mil por entregador Concurso nos EUA ocorre em meio a disputas regulatórias sobre modelo de trabalho adotado pela empresa
2026-03-30,NEGATIVO,MANTIDO (Zerado),53.3,0,0.0,9928.43,9928.43,,"Frete grátis com dias contados? Até quando Meli e Amazon vão bancar essa conta Subsídio impulsiona crescimento, mas pressiona margens e levanta dúvidas sobre sustentabilidade do modelo"
2026-04-07,POSITIVO,COMPRA,56.75,174,9874.5,53.93,9928.43,,"A jogada da Amazon com a FIFA para dominar as vendas online na Copa do Mundo 2026 Em entrevista exclusiva à EXAME, o diretor de varejo da companhia explica como a página especial ""Central da Torcida"" e os produtos licenciados da FIFA representam vantagem competitiva durante o torneio"
2026-04-14,POSITIVO,MANTIDO (Comprado),62.06,174,10798.44,53.93,10852.37,,"Amazon fecha acordo para comprar empresa de satélites Globalstar Negócio, revelado em documento à SEC, reforça aposta da Amazon em conectividade global via satélite"
2026-04-16,POSITIVO,MANTIDO (Comprado),62.5,174,10875.0,53.93,10928.93,,"Por que a Meta é a principal escolha entre as big techs agora? Morgan Stanley colocou a dona do Facebook, do Instagram e do WhatsApp à frente de Amazon e Alphabet, citando uma combinação de valuation mais baixo, crescimento projetado e novos gatilhos ligados à IA"
