Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-02-03,NEGATIVO,MANTIDO (Zerado),5.14,0,0.0,10000.0,10000.0,,"Instituto de Previdência do DF deve precisar de aporte de R$ 1,5 bi Alvo de inspeção do Tribunal de Contas distrital, entidade tem 12% do capital do BRB, que também pressiona governo local por recursos após caso Master | Banco de Brasília enfrenta resistência de parlamentares para aporte de R$ 6,6 bi Nelson de Souza se reuniu com deputados da Câmara Legislativa do Distrito Federal (CLDF) nesta segunda-feira (2) para defender a aprovação do projeto de lei de capitalização do banco"
2026-03-03,NEGATIVO,MANTIDO (Zerado),4.35,0,0.0,10000.0,10000.0,,"Oncoclínicas obtém liminar para impedir BRB de promover mudanças com ações em seu poder Banco de Brasília passou a deter 8,68% do capital da companhia da área de saúde após executar garantias do Banco Master, | Câmara Legislativa do DF inclui projeto de capitalização do BRB em pauta de votação de hoje Embora o governador Ibaneis Rocha (MDB) conte com maioria na Casa, o texto enfrenta resistências, inclusive na área técnica do Legislativo | Servidores do BRB protestam em defesa do PL que autoriza capitalização do banco Um grupo menor de funcionários da Companhia de Saneamento Ambiental do Distrito Federal (Caesb) também esteve no local, mas para se posicionar contra a proposta. | Imóveis que podem ser usados para salvar BRB valem R$ 6,6 bilhões, estima Terracap Ausência do valor econômico dos imóveis foi um dos motivos que levou à consultoria legislativa da CLDF recomendar que o projeto de lei, da forma que estava apresentado, fosse rejeitado | Câmara Legislativa do DF rejeita requerimento de convocação do presidente do BRB Requerimento não aprovado também previa depoimento de secretário de Economia | Câmara legislativa aprova projeto de lei que autoriza capitalização do BRB Parlamentares distritais também liberaram a alienação ou transferência de imóveis públicos para a instituição financeira"
2026-03-04,NEGATIVO,MANTIDO (Zerado),4.9,0,0.0,10000.0,10000.0,,"BRB pede ao STF para receber dinheiro de carteiras de crédito compradas do Master A depender da decisão do STF, os recursos podem ajudar o BRB a cobrir o rombo deixado por transações com o Master"
2026-03-28,NEGATIVO,MANTIDO (Zerado),4.2,0,0.0,10000.0,10000.0,,"Ascensão e queda do Master deixam marcas no setor financeiro Um ano após acordo com BRB, que trouxe uma crise à tona, abrangência do esquema de fraude e corrupção surpreende e deve levar a uma série de ajustes"
2026-03-30,NEGATIVO,MANTIDO (Zerado),4.34,0,0.0,10000.0,10000.0,,"Rombo de R$ 60 bilhões do Master no FGC deve levar a mudanças regulatórias Há um ano, caso do banco de Daniel Vorcaro ganhou os holofotes com a proposta de compra feita pelo estatal BRB | Quebra do Master consome R$ 60 bi e leva a mudança no FGC Se fundo liberar mais R$ 4 bilhões ao BRB, que fez pedido na sexta-feira, conta sobe ainda mais"
2026-03-31,NEGATIVO,MANTIDO (Zerado),4.04,0,0.0,10000.0,10000.0,,"BB vai analisar tecnicamente qualquer pedido sobre BRB, diz presidente A executiva salientou que a aprovação de qualquer operação ou linha de crédito depende do perfil de cada cliente do banco | BRB adia balanço e convoca nova AGE para votar aumento de capital Segundo o banco, a medida visa assegurar a fidedignidade, transparência e integridade das demonstrações financeiras | FGC responde a carta do BRB, mas negociações sobre possível empréstimo de R$ 4 bilhões devem ser longas Banco distrital enfrenta dificuldades após a tentativa de compra do Banco Master, liquidado pelo Banco Central em novembro passado"
2026-04-02,NEGATIVO,MANTIDO (Zerado),4.0,0,0.0,10000.0,10000.0,,"Moody’s rebaixa rating do BRB e mantém em revisão para novo corte Segundo a agência de classificação de risco, rebaixamento reflete a “provável necessidade de injeção de capital, intensificadas pela ausência de um plano de recomposição após perdas com ativos provenientes dos ativos adquiridos do Banco Master"" | BRB mantém plano de aumento de capital de R$ 8,8 bilhões Proposta de aumento de capital será discutida na assembleia geral extraordinária (AGE) convocada para o próximo dia 22 | Governadora do DF determina afastamento de dirigentes do BRB envolvidos em escândalo do Master Decisão foi tomada com base no relatório da auditoria independente contratada pelo BRB para apurar possíveis irregularidades na operação; nomes não foram divulgados"
2026-04-03,NEGATIVO,MANTIDO (Zerado),4.0,0,0.0,10000.0,10000.0,,"BRB diz que decisão que beneficia Oncoclínicas é provisória e que adotará medidas jurídicas cabíveis Liminar impede BRB de promover mudanças com ações em seu poder que pertenciam a Daniel Vorcaro, dono do Banco Master | PL de socorro ao BRB deve ser enviado para sanção na próxima semana Projeto foi aprovado em dois turnos ontem pela Câmara Distrital | BRB pede ao STF que eventual acordo de delação no caso Master reserve recursos para ressarcir o banco O banco pretende, com isso, garantir o bloqueio de eventuais bens recuperados para garantir seu ressarcimento no caso"
2026-04-10,NEGATIVO,MANTIDO (Zerado),4.02,0,0.0,10000.0,10000.0,,"Master repassou ao BRB crédito de R$ 559 milhões que frigorífico afirma já ter quitado RKO Alimentos acusa instituição financeira do DF de não ter feito diligência sobre dívida de R$ 559,1 milhões comprada três meses após pagamento | Fundo de investidores propõe aquisição de ativos do BRB por R$ 15 bilhões, diz governo do DF Em nota, a governadora Celina Leão (PP) destaca que a negociação não envolve aporte de recursos públicos nem compromete o caixa do banco afetado pelo caso Master | BRB vai estruturar FIDC junto a gestora para levantar até R$ 15 bilhões CEO do BRB, Nelson de Souza, explicou que o veículo deve ficar pronto em até 30 dias e vai resolver o problema de liquidez do banco"
2026-04-14,NEGATIVO,MANTIDO (Zerado),4.0,0,0.0,10000.0,10000.0,,Quadra vai auxiliar BRB a estruturar FIDC de R$ 15 bi Gestora vai montar veículo com ativos herdados do Master | BRB diz que não recebeu comprovação de quitação de dívida de frigorífico comprada junto ao Master
