Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-28,NEGATIVO,MANTIDO (Zerado),100.55,0,0.0,10000.0,10000.0,,"Mercado eleva aposta em corte da Selic em janeiro com alívio nas expectativas Mercado de juros futuros precifica corte de quase 13 pontos da Selic em janeiro, o que indica uma chance levemente majoritária de redução de 0,25 ponto percentual | Mercado eleva aposta em corte da Selic em janeiro com alívio nas expectativas Mercado de juros futuros precifica corte de quase 13 pontos da Selic em janeiro, o que indica uma chance levemente majoritária de redução de 0,25 ponto percentual"
2025-12-19,POSITIVO,COMPRA,103.4,96,9926.4,73.6,10000.0,,"Investidor local deve puxar alta da bolsa brasileira em 2026, prevê Citi Com cortes na taxa Selic, entrada do investidor local no ano que vem deve superar o fluxo estrangeiro deste ano"
2025-12-24,POSITIVO,MANTIDO (Comprado),102.74,96,9863.04,73.6,9936.64,,"C&A, Renner e Riachuelo: qual varejista de moda se saiu melhor em 2025? Apesar da Selic a 15% ao ano, as ações de Guararapes, C&A e Renner avançaram em 2025, desafiando o cenário adverso ao varejo | Mega da Virada: quanto R$ 1 bilhão pode render na poupança e no CDI Prêmio recorde de 2025 supera R$ 1 bilhão e pode gerar rendimentos milionários em poupança ou CDI"
2025-12-29,POSITIVO,MANTIDO (Comprado),102.89,96,9877.44,73.6,9951.04,,"Bolsa surpreende em 2025 e bate a renda fixa mesmo com juros a 15% Com expectativa de cortes na Selic em 2026, mercado espera continuidade dos ganhos: ações seguem 'baratas'"
2026-01-05,NEGATIVO,VENDA,103.12,0,0.0,9973.12,9973.12,-26.88,"A Selic vai cair em 2026: onde investir para surfar em juros menores? Especialistas indicam estratégias para travar boas taxas, proteger o poder de compra e buscar valorização com a queda da Selic"
2026-01-15,NEGATIVO,MANTIDO (Zerado),103.59,0,0.0,9973.12,9973.12,,"Renda de imóveis entregou metade do CDI e perdeu até para a poupança Alta nos aluguéis superou a inflação em 2025, mas retorno para quem recebe o valor da locação ficou abaixo até das aplicações financeiras mais conservadoras"
2026-01-26,NEGATIVO,MANTIDO (Zerado),103.99,0,0.0,9973.12,9973.12,,"Gringos compram Brasil esperando corte de juros — e se a Selic não cair? Relatórios de bancos já começaram a recalcular rotas, adiando a previsão do início dos cortes da Selic de janeiro para março de 2026; mercado está mais cético quanto à queda dos juros"
2026-02-03,NEGATIVO,MANTIDO (Zerado),104.33,0,0.0,9973.12,9973.12,,Juros futuros sobem de olho em impactos inflacionários do conflito no Oriente Médio O salto nos preços do petróleo e o avanço do dólar colocaram em xeque as expectativas do mercado para o ciclo de cortes da Selic
2026-02-23,NEGATIVO,MANTIDO (Zerado),105.0,0,0.0,9973.12,9973.12,,"Caixinhas rendem acima do CDI, mas podem empurrar gastos para o cartão Poupador deve ter cuidado com 'ilusão de dinheiro sobrando', dizem especialistas"
2026-03-02,NEGATIVO,MANTIDO (Zerado),105.3,0,0.0,9973.12,9973.12,,"Magalu, Azzas e MRV: ações sensíveis a juros lideram perdas do Ibovespa Dólar em alta e disparada do petróleo, com conflito no Irã, trazem questionamentos sobre cortes na Selic"
2026-03-03,NEGATIVO,MANTIDO (Zerado),105.39,0,0.0,9973.12,9973.12,,"Mercado reduz chance de corte maior na Selic com guerra no Oriente Médio Chance de um corte de 0,5 ponto na Selic despenca de 73% para 53% nesta terça-feira | É cedo para falar em reversão do ciclo de queda da Selic por causa da guerra no Irã, diz Haddad Ministro volta a defender que o BC ajuste ""a dose do remédio"", ou seja, a taxa Selic, que hoje está em 15% ao ano"
2026-03-05,NEGATIVO,MANTIDO (Zerado),105.41,0,0.0,9973.12,9973.12,,"Banco Central ‘não pode ignorar’ guerra no Irã ao avaliar juros, diz diretor Nilton David disse em evento que conflito adiciona nova camada de risco às perspectivas de inflação e crescimento e pode afetar a calibragem da política monetária após a próxima reunião do Copom"
2026-03-16,NEGATIVO,MANTIDO (Zerado),105.93,0,0.0,9973.12,9973.12,,"Guerra com Irã reduz espaço do Copom para cortes na Selic, apontam bancos Conflito no Oriente Médio eleva petróleo, pressiona inflação e leva mercado a rever apostas para a Selic"
2026-03-18,NEGATIVO,MANTIDO (Zerado),105.94,0,0.0,9973.12,9973.12,,"Títulos de dívida: como fica o crédito privado com cortes na Selic Selic mais baixa melhora saúde financeira das empresas — dependendo da intensidade dos cortes | Super Quarta: o que esperar das decisões de juros no Brasil e nos EUA Escalada no Oriente Médio aumenta incertezas, leva petróleo a US$ 100 e faz mercado rever apostas; Copom pode manter Selic em 15%, enquanto Fed deve seguir cauteloso"
2026-03-19,NEGATIVO,MANTIDO (Zerado),106.11,0,0.0,9973.12,9973.12,,"Primeiro corte na Selic em dois anos: é hora de tomar mais risco? Taxa estava em 15% desde junho de 2025, o maior patamar desde 2006 | A Selic começou a cair: como ficam os investimentos em prefixados? Tanto títulos prefixados quanto IPCA+ estão remunerando em taxas elevadas"
2026-03-29,NEGATIVO,MANTIDO (Zerado),106.36,0,0.0,9973.12,9973.12,,"Petróleo acima de US$ 100 força mercado a encurtar ciclo de cortes na Selic Na curva de juros, precificação do mercado aponta para uma taxa acima de 14% ao longo de todo o ano"
2026-03-30,NEGATIVO,MANTIDO (Zerado),106.41,0,0.0,9973.12,9973.12,,"Safra eleva projeção para a Selic no fim do ano de 11,75% para 12,25% após disparada do petróleo Segundo a equipe de economistas do banco, inflação no atacado deverá aumentar sensivelmente no curto prazo, especialmente em abril | Itaú vê inflação mais pressionada e eleva projeção da Selic a 13% Em relação ao IPCA, banco elevou estimativa deste ano de 3,8% para 4,5%"
